trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.02, 'e': 0.26713530196585034}",20,11,13.696990464218157,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.02, 'e': 0.261845668580326}",20,8,2.2959290177492715,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.02, 'e': 0.2566607769535559}",25,11,-40.18993093832026,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
69,False,"{'a': 0.02, 'e': 0.25157855305975646}",30,13,2.7952181082659315,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.02, 'e': 0.24659696394160643}",20,16,6.411085459661905,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.02, 'e': 0.24171401689703645}",30,0,37.520123222912744,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.02, 'e': 0.23692775868212176}",25,16,13.888690328172132,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.02, 'e': 0.23223627472975883}",20,0,21.743992692767304,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.02, 'e': 0.22763768838381274}",20,3,11.902776139937524,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.02, 'e': 0.22313016014842982}",20,3,4.268330717462331,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.02, 'e': 0.21871188695221475}",25,0,-1.3297996547886966,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
77,False,"{'a': 0.02, 'e': 0.21438110142697794}",25,0,-21.909294052061966,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
78,False,"{'a': 0.02, 'e': 0.21013607120076472}",20,0,-80.89196608185898,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.02, 'e': 0.20597509820488344}",20,5,-34.61755719443648,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.02, 'e': 0.20189651799465538}",30,20,7.708790352564908,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.02, 'e': 0.19789869908361465}",20,0,-35.31287740994583,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
82,False,"{'a': 0.02, 'e': 0.19398004229089189}",25,0,-10.282204013558538,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
83,False,"{'a': 0.02, 'e': 0.1901389801015205}",20,4,23.553181799514075,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.02, 'e': 0.18637397603940997}",20,13,3.689551790319694,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.02, 'e': 0.18268352405273466}",20,1,-22.34954182442722,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
86,False,"{'a': 0.02, 'e': 0.17906614791149322}",30,8,34.143016354213664,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.02, 'e': 0.17552040061699686}",30,22,11.749754362828876,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.02, 'e': 0.17204486382305054}",20,5,-14.41533877492396,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.02, 'e': 0.1686381472685955}",30,12,32.732130726014134,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.02, 'e': 0.16529888822158653}",20,0,-38.40401299618549,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
91,False,"{'a': 0.02, 'e': 0.16202575093388075}",30,21,17.143839603734254,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.02, 'e': 0.15881742610692068}",20,0,30.18386339330813,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.02, 'e': 0.1556726303679973}",25,12,-0.9946165239790192,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.02, 'e': 0.15259010575688386}",25,15,10.911684139169003,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.02, 'e': 0.14956861922263504}",20,12,8.61722092093463,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.02, 'e': 0.14660696213035015}",20,0,-0.7962607018858147,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.02, 'e': 0.14370394977770293}",30,12,21.049241594666366,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.02, 'e': 0.140858420921045}",25,0,-0.9051310131200268,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
99,False,"{'a': 0.02, 'e': 0.13806923731089282}",25,0,-19.235280061952245,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
100,False,"{'a': 0.02, 'e': 0.1353352832366127}",30,0,45.298071011369046,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.02, 'e': 0.13265546508012172}",20,3,29.587051479835804,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.02, 'e': 0.1300287108784259}",25,9,26.319383317005666,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.02, 'e': 0.12745396989482075}",20,0,-17.530861933919567,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
104,False,"{'a': 0.02, 'e': 0.12493021219858241}",20,2,1.7504442931685493,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.02, 'e': 0.1224564282529819}",25,2,20.331238327756566,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.02, 'e': 0.12003162851145673}",20,15,10.226589979734037,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.02, 'e': 0.11765484302177918}",25,9,7.542340537906964,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
108,False,"{'a': 0.02, 'e': 0.11532512103806251}",25,0,-20.648220877090186,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
109,False,"{'a': 0.02, 'e': 0.11304153064044985}",20,3,3.84357800941888,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
110,False,"{'a': 0.02, 'e': 0.11080315836233387}",25,3,17.1049617490621,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.02, 'e': 0.10860910882495796}",25,7,24.19764366870093,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.02, 'e': 0.1064585043792528}",25,10,27.114100405488102,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.02, 'e': 0.104350484754765}",30,14,14.32354206864177,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.02, 'e': 0.10228420671553744}",35,18,27.878826086080466,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
